date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:49:29	179/179	---MCZ	200	added ('OK')	text/plain	etag:W/%22266-1641971796000%22	https://www.mahindra.com/robots.txt		(from )
05:49:29	38072/38072	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Oct%202022%2012:19:27%20GMT	https://www.mahindra.com/	C:/10Intership/mahendra%20manfucarure/www.mahindra.com/index.html	(from )
05:49:29	12566/12566	---MCZ	200	added ('OK')	text/css	etag:W/%2216434-1552901111000%22	https://www.mahindra.com/iwov-resources/grid/bootstrap.css	C:/10Intership/mahendra%20manfucarure/www.mahindra.com/iwov-resources/grid/bootstrap.css	(from https://www.mahindra.com/)
05:49:29	24111/24111	---MCZ	200	added ('OK')	text/javascript	etag:W/%2224111-1576477393000%22	https://www.mahindra.com/resources/careers/js/masonry.pkgd.min.js	C:/10Intership/mahendra%20manfucarure/www.mahindra.com/resources/careers/js/masonry.pkgd.min.js	(from https://www.mahindra.com/)
05:49:29	193/193	---M--	200	added ('OK')	text/html	etag:W/%22193-1435896136000%22	https://www.mahindra.com/resources/images/favicon.ico	C:/10Intership/mahendra%20manfucarure/www.mahindra.com/resources/images/favicon.html	(from https://www.mahindra.com/)
05:49:30	3407/3407	---MCZ	200	added ('OK')	text/css	etag:W/%224423-1601531612000%22	https://www.mahindra.com/assets/chatbot/css/chatbot_custom.css	C:/10Intership/mahendra%20manfucarure/www.mahindra.com/assets/chatbot/css/chatbot_custom.css	(from https://www.mahindra.com/)
05:49:30	43167/43167	---MCZ	200	added ('OK')	text/css	etag:W/%2257179-1591264723000%22	https://www.mahindra.com/assets/chatbot/css/botchat.css	C:/10Intership/mahendra%20manfucarure/www.mahindra.com/assets/chatbot/css/botchat.css	(from https://www.mahindra.com/)
05:49:30	21901/21901	---MCZ	200	added ('OK')	text/css	etag:W/%2221901-1590121246000%22	https://www.mahindra.com/assets/css/fontface.min.css	C:/10Intership/mahendra%20manfucarure/www.mahindra.com/assets/css/fontface.min.css	(from https://www.mahindra.com/)
05:49:30	121258/121258	---MCZ	200	added ('OK')	text/css	etag:W/%22121258-1619284858000%22	https://www.mahindra.com/assets/css/bootstrap.min.css	C:/10Intership/mahendra%20manfucarure/www.mahindra.com/assets/css/bootstrap.min.css	(from https://www.mahindra.com/)
05:49:30	2922/2922	---MCZ	200	added ('OK')	text/css	etag:W/%222922-1590121248000%22	https://www.mahindra.com/assets/css/divider.min.css	C:/10Intership/mahendra%20manfucarure/www.mahindra.com/assets/css/divider.min.css	(from https://www.mahindra.com/)
05:49:31	3025/3025	---MCZ	200	added ('OK')	text/css	etag:W/%223025-1590121228000%22	https://www.mahindra.com/assets/css/owl.carousel.min.css	C:/10Intership/mahendra%20manfucarure/www.mahindra.com/assets/css/owl.carousel.min.css	(from https://www.mahindra.com/)
05:49:31	3385/3385	---MCZ	200	added ('OK')	text/css	etag:W/%223385-1590121234000%22	https://www.mahindra.com/assets/css/lity.min.css	C:/10Intership/mahendra%20manfucarure/www.mahindra.com/assets/css/lity.min.css	(from https://www.mahindra.com/)
05:49:31	17775/17775	---MCZ	200	added ('OK')	text/css	etag:W/%2217775-1590121220000%22	https://www.mahindra.com/assets/css/swiper.min.css	C:/10Intership/mahendra%20manfucarure/www.mahindra.com/assets/css/swiper.min.css	(from https://www.mahindra.com/)
05:49:31	1824/1824	---MCZ	200	added ('OK')	text/css	etag:W/%221824-1590121233000%22	https://www.mahindra.com/assets/css/main.min.css	C:/10Intership/mahendra%20manfucarure/www.mahindra.com/assets/css/main.min.css	(from https://www.mahindra.com/)
05:49:32	56359/56359	---MCZ	200	added ('OK')	text/css	etag:W/%2256359-1590121254000%22	https://www.mahindra.com/assets/css/animate.min.css	C:/10Intership/mahendra%20manfucarure/www.mahindra.com/assets/css/animate.min.css	(from https://www.mahindra.com/)
05:49:32	19978/19978	---MCZ	200	added ('OK')	text/css	etag:W/%2219978-1641444744000%22	https://www.mahindra.com/assets/css/custom.min.css	C:/10Intership/mahendra%20manfucarure/www.mahindra.com/assets/css/custom.min.css	(from https://www.mahindra.com/)
05:49:32	9424/9424	---MCZ	200	added ('OK')	text/css	etag:W/%229424-1592311525000%22	https://www.mahindra.com/assets/css/view.min.css	C:/10Intership/mahendra%20manfucarure/www.mahindra.com/assets/css/view.min.css	(from https://www.mahindra.com/)
05:49:32	4334/4334	---MCZ	200	added ('OK')	text/css	etag:W/%225396-1559306547000%22	https://www.mahindra.com/assets/css/search.css	C:/10Intership/mahendra%20manfucarure/www.mahindra.com/assets/css/search.css	(from https://www.mahindra.com/)
05:49:33	2208/2208	---MCZ	200	added ('OK')	text/css	etag:W/%222484-1584701804000%22	https://www.mahindra.com/assets/css/customv3.css	C:/10Intership/mahendra%20manfucarure/www.mahindra.com/assets/css/customv3.css	(from https://www.mahindra.com/)
05:49:33	23396/23396	---MCZ	200	added ('OK')	text/css	etag:W/%2223396-1574769676000%22	https://www.mahindra.com/assets/css/homepage.min.css	C:/10Intership/mahendra%20manfucarure/www.mahindra.com/assets/css/homepage.min.css	(from https://www.mahindra.com/)
05:49:33	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sun,%2016%20Oct%202022%2012:49:23%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/10Intership/mahendra%20manfucarure/www.googletagmanager.com/gtm.125445.delayed	(from https://www.mahindra.com/)
05:49:33	2257/2257	---M--	200	added ('OK')	image/png	etag:W/%222719-1601984508000%22	https://www.mahindra.com/assets/img/mahindra-logo.png	C:/10Intership/mahendra%20manfucarure/www.mahindra.com/assets/img/mahindra-logo.png	(from https://www.mahindra.com/)
